concept,label,2021-09-25,2020-09-26,2019-09-28,level,abstract,dimension
us-gaap_RevenueFromContractWithCustomerExcludingAssessedTax,Revenue,365817000000.0,274515000000.0,260174000000.0,3,False,False
us-gaap_CostOfGoodsAndServicesSold,Cost of Revenue,-212981000000.0,-169559000000.0,-161782000000.0,3,False,False
us-gaap_GrossProfit,Gross Profit,152836000000.0,104956000000.0,98392000000.0,3,False,False
us-gaap_OperatingExpensesAbstract,Operating Expenses,,,,3,False,False
us-gaap_ResearchAndDevelopmentExpense,Research and Development Expense,21914000000.0,18752000000.0,16217000000.0,4,False,False
us-gaap_SellingGeneralAndAdministrativeExpense,"Selling, General and Administrative Expense",21973000000.0,19916000000.0,18245000000.0,4,False,False
us-gaap_OperatingExpenses,Operating Expenses,-43887000000.0,-38668000000.0,-34462000000.0,4,False,False
us-gaap_OperatingIncomeLoss,Operating Income,108949000000.0,66288000000.0,63930000000.0,3,False,False
us-gaap_NonoperatingIncomeExpense,Nonoperating Income/Expense,258000000.0,803000000.0,1807000000.0,3,False,False
us-gaap_IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,Income Before Tax,109207000000.0,67091000000.0,65737000000.0,3,False,False
us-gaap_IncomeTaxExpenseBenefit,Income Tax Expense,14527000000.0,9680000000.0,10481000000.0,3,False,False
us-gaap_NetIncomeLoss,Net Income,94680000000.0,57411000000.0,55256000000.0,3,False,False
us-gaap_EarningsPerShareAbstract,Earnings per share:,,,,3,False,False
us-gaap_EarningsPerShareBasic,Earnings Per Share,5.67,3.31,2.99,4,False,False
us-gaap_EarningsPerShareDiluted,Earnings Per Share (Diluted),5.61,3.28,2.97,4,False,False
us-gaap_WeightedAverageNumberOfSharesOutstandingAbstract,Shares used in computing earnings per share:,,,,3,False,False
us-gaap_WeightedAverageNumberOfSharesOutstandingBasic,Shares Outstanding,16701272000.0,17352119000.0,18471336000.0,4,False,False
us-gaap_WeightedAverageNumberOfDilutedSharesOutstanding,Shares Outstanding (Diluted),16864919000.0,17528214000.0,18595651000.0,4,False,False
