concept,label,2022-09-24,2021-09-25,2020-09-26,level,abstract,dimension
us-gaap_RevenueFromContractWithCustomerExcludingAssessedTax,Revenue,394328000000.0,365817000000.0,274515000000.0,3,False,False
us-gaap_CostOfGoodsAndServicesSold,Cost of Revenue,-223546000000.0,-212981000000.0,-169559000000.0,3,False,False
us-gaap_GrossProfit,Gross Profit,170782000000.0,152836000000.0,104956000000.0,3,False,False
us-gaap_OperatingExpensesAbstract,Operating Expenses,,,,3,False,False
us-gaap_ResearchAndDevelopmentExpense,Research and Development Expense,26251000000.0,21914000000.0,18752000000.0,4,False,False
us-gaap_SellingGeneralAndAdministrativeExpense,"Selling, General and Administrative Expense",25094000000.0,21973000000.0,19916000000.0,4,False,False
us-gaap_OperatingExpenses,Operating Expenses,-51345000000.0,-43887000000.0,-38668000000.0,4,False,False
us-gaap_OperatingIncomeLoss,Operating Income,119437000000.0,108949000000.0,66288000000.0,3,False,False
us-gaap_NonoperatingIncomeExpense,Nonoperating Income/Expense,-334000000.0,258000000.0,803000000.0,3,False,False
us-gaap_IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,Income Before Tax,119103000000.0,109207000000.0,67091000000.0,3,False,False
us-gaap_IncomeTaxExpenseBenefit,Income Tax Expense,19300000000.0,14527000000.0,9680000000.0,3,False,False
us-gaap_NetIncomeLoss,Net Income,99803000000.0,94680000000.0,57411000000.0,3,False,False
us-gaap_EarningsPerShareAbstract,Earnings per share:,,,,3,False,False
us-gaap_EarningsPerShareBasic,Earnings Per Share,6.15,5.67,3.31,4,False,False
us-gaap_EarningsPerShareDiluted,Earnings Per Share (Diluted),6.11,5.61,3.28,4,False,False
us-gaap_WeightedAverageNumberOfSharesOutstandingAbstract,Shares used in computing earnings per share:,,,,3,False,False
us-gaap_WeightedAverageNumberOfSharesOutstandingBasic,Shares Outstanding,16215963000.0,16701272000.0,17352119000.0,4,False,False
us-gaap_WeightedAverageNumberOfDilutedSharesOutstanding,Shares Outstanding (Diluted),16325819000.0,16864919000.0,17528214000.0,4,False,False
