concept,label,2024-09-28,2023-09-30,2022-09-24,level,abstract,dimension
us-gaap_RevenueFromContractWithCustomerExcludingAssessedTax,Revenue,391035000000.0,383285000000.0,394328000000.0,3,False,False
us-gaap_CostOfGoodsAndServicesSold,Cost of Revenue,-210352000000.0,-214137000000.0,-223546000000.0,3,False,False
us-gaap_GrossProfit,Gross Profit,180683000000.0,169148000000.0,170782000000.0,3,False,False
us-gaap_OperatingExpensesAbstract,Operating Expenses,,,,3,False,False
us-gaap_ResearchAndDevelopmentExpense,Research and Development Expense,31370000000.0,29915000000.0,26251000000.0,4,False,False
us-gaap_SellingGeneralAndAdministrativeExpense,"Selling, General and Administrative Expense",26097000000.0,24932000000.0,25094000000.0,4,False,False
us-gaap_OperatingExpenses,Operating Expenses,-57467000000.0,-54847000000.0,-51345000000.0,4,False,False
us-gaap_OperatingIncomeLoss,Operating Income,123216000000.0,114301000000.0,119437000000.0,3,False,False
us-gaap_NonoperatingIncomeExpense,Nonoperating Income/Expense,269000000.0,-565000000.0,-334000000.0,3,False,False
us-gaap_IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,Income Before Tax,123485000000.0,113736000000.0,119103000000.0,3,False,False
us-gaap_IncomeTaxExpenseBenefit,Income Tax Expense,29749000000.0,16741000000.0,19300000000.0,3,False,False
us-gaap_NetIncomeLoss,Net Income,93736000000.0,96995000000.0,99803000000.0,3,False,False
us-gaap_EarningsPerShareAbstract,Earnings per share:,,,,3,False,False
us-gaap_EarningsPerShareBasic,Earnings Per Share,6.11,6.16,6.15,4,False,False
us-gaap_EarningsPerShareDiluted,Earnings Per Share (Diluted),6.08,6.13,6.11,4,False,False
us-gaap_WeightedAverageNumberOfSharesOutstandingAbstract,Shares used in computing earnings per share:,,,,3,False,False
us-gaap_WeightedAverageNumberOfSharesOutstandingBasic,Shares Outstanding,15343783000.0,15744231000.0,16215963000.0,4,False,False
us-gaap_WeightedAverageNumberOfDilutedSharesOutstanding,Shares Outstanding (Diluted),15408095000.0,15812547000.0,16325819000.0,4,False,False
